Data Domain L1,Data Domain L2,Data Domain L3
Operations,Warehousing,Co-Packing / re-packing / Subcontracting 
Operations,Warehousing,"Receipts Interco, vendors & production"
Operations,Warehousing,Plants
Operations,Warehousing,Plants storage locations
Operations,Warehousing,Supplier Consignment Stock
Operations,Warehousing,Material movements
Operations,"Logistics, Orchestration & Communication",Inbound deliveries
Operations,"Logistics, Orchestration & Communication",inbound delivery returns
Operations,"Logistics, Orchestration & Communication",Outbound Customer Orders & Service Level
Operations,"Logistics, Orchestration & Communication",Outbound Logistics Complaints
Operations,Manufacturing,3PM & Co-Manufacturing
Operations,Manufacturing,Plant Maintenance Plan & Orders
Operations,Manufacturing,Producion & Process Orders
Operations,Manufacturing,Material Consumption
Operations,Manufacturing,Production Performance
Operations,Manufacturing,Milk & Liquids Management
Operations,Manufacturing,Shop Floor
Operations,Transparency & Traceability,FG/SFG/R&P Batch/Lot Traceability
Operations,Transparency & Traceability,FG/SFG/R&P Pallet Traceability
Operations,Transparency & Traceability,Serialization & Aggregation
Operations,Transportation Management,Shipments
Operations,Transportation Management,Deliveries
Operations,Transportation Management,Trucks Fleet
Operations,Transportation Management,Transportation Costs & Budget
Operations,Transportation Management,Transportation Performance
Operations,Transportation Management,Truck Utilization
Operations,Transportation Management,Non-Themis in-transit
Operations,Cycles & Procurement,Supplier & Risk Management
Operations,Cycles & Procurement,Contract Management
Operations,Cycles & Procurement,Other Material Types (indirect)
Operations,Cycles & Procurement,Sourcing Management
Operations,Cycles & Procurement,"Raw, Packs & Milk"
Operations,Cycles & Procurement,Other Material Types (spare parts)
Operations,Cycles & Procurement,Market Intelligence
Research & Innovation,"Digital Health, Microbiome & Digital Services",Evidence Health data 
Research & Innovation,"Digital Health, Microbiome & Digital Services",Microbiome & omics data
Research & Innovation,Innovation Portfolio Project Mgmt. ,R&I explo portfolio
Research & Innovation,Innovation Portfolio Project Mgmt. ,Inno / F4G project portfolio
Research & Innovation,Innovation Portfolio Project Mgmt. ,R&I resources
Research & Innovation,Innovation Portfolio Project Mgmt. ,Product test results (pilot/IT/Launch)
Research & Innovation,Raw specification,Raw material spec
Research & Innovation,Pack specification,Pack material spec
Research & Innovation,Raw specification,Visa Food Safety
Research & Innovation,Pack specification,Visa Food Safety
Research & Innovation,Raw specification,Category spec 
Research & Innovation,Pack specification,Category spec 
Research & Innovation,Raw and Pack specification,Sourcing Approval R - (SAR)
Research & Innovation,Raw specification,Raw brief
Research & Innovation,Pack specification,Pack Brief
Research & Innovation,Consumer Experience Mgmt.,Product Sensory
Research & Innovation,Consumer Experience Mgmt.,"Product testing (quanti, quali), …"
Research & Innovation,Consumer Experience Mgmt.,"Other UX data (video, audio, listening…)"
Research & Innovation,Consumer Experience Mgmt.,"Innovations benchmarks (OFF, Mintel)"
Research & Innovation,Pilot Prototyping,Prototype recipe
Research & Innovation,Pilot Prototyping,"Pilot process (equipment, process)"
Research & Innovation,Pilot Prototyping,Pilot Traceability
Research & Innovation,Pilot Prototyping,Warehouse and logistic
Research & Innovation,Pilot Prototyping,"Prototype analytics (physico, shelf life, micro …)"
Research & Innovation,Master Recipe Finished Goods,Finish product spec
Research & Innovation,Master Recipe Finished Goods,PPG/PPC
Research & Innovation,Master Recipe Finished Goods,Master general recipe (design) 
Research & Innovation,Master Recipe Finished Goods,Master plant formula (to BOM)
Research & Innovation,Master Recipe Semi Finished Goods,Semi finish spec
Research & Innovation,Master Recipe Semi Finished Goods,Process spec
Research & Innovation,Master Recipe Semi Finished Goods,Label spec
Research & Innovation,Master Recipe Semi Finished Goods,Master general recipe (design) 
Research & Innovation,Master Recipe Semi Finished Goods,Master plant formula (to BOM)
Sales,Assortment & OBPPC​,Core and Hero assortment
Sales,Assortment & OBPPC​,Customer Assortments
Sales,Assortment & OBPPC​,Price Pack Architecture
Sales,Consumer Pricing,Gross List Price
Sales,Consumer Pricing,"Price indexes (APO, CPI, SPI)"
Sales,Consumer Pricing,rRSP
Sales,Consumer Pricing,Price Elasticity
Sales,Execution,Salesforce Management
Sales,Execution,Store typology (strates)
Sales,Execution,Customer Assortments (POS)
Sales,Execution,Customer Merchandising plans
Sales,Execution,In store audit (Field Force)
Sales,Execution,Online Picos
Sales,Mix Management,Accretive dilutive brand/ segments/ SKU’s/channel/ customer ​
Sales,Promo Planning Optimization,Customer baseline 
Sales,Promo Planning Optimization,External Market Promo (VOD/DOD)
Sales,Promo Planning Optimization,Competitor & Product Mapping (TPO)
Sales,Promo Planning Optimization,Customer Promotions 
Sales,Promo Planning Optimization,Accruals & payments
Sales,Route to market &  distributor Management,Channel and subchannel definition (exe KPI's)
Sales,Route to market &  distributor Management,Total Cost to Serve (Logistics)
Sales,Sell out POS  & 3rd party data,Customer POS (sell-out)
Sales,Sell out POS  & 3rd party data,On Shelf Availability (OSA)
Sales,Sell out POS  & 3rd party data,Store Geoloc external data 
Sales,Trade Terms,Floorprices
Sales,Trade Terms,Customer Trade Terms (G2N)
Sales,Trade Terms,Gross Profiitability
Sales,Trade Terms,Retail Media Investment
